Food list;Amount;Unit;Calories;Fats;Carbs;Prots;;;;;
Apple large;1;pc;110;0.4;24.2;0.6;;;;;
Apple medium;1;pc;72;0.2;19;0.4;;;;;
Apple stewed;100;g;33;0.1;8.1;0.3;;;;;
Appricots;1;pc;17;0;4;0;;;;;
Avocado;1;pc;322;29;17;4;;;;;
baguette;80;g;283;13;35;7;;;;;
Baguette small;1;pc;242.583732057416;3.69;41.22;8.91;;;;;
Baked potato;500;g;504;14.5;90;11;;;;;
Baked potato no oil;100;g;77;0.1;18;2.2;;;;;
Banana;3;pc;315;1;81;4;;;;;
Banana chips;100;g;502;27;60;3;;;;;
Banana peeled;100;g;95;0.3;23.2;1.2;;;;;
Basmati cooked;288;g;347;1.1;74;8.5;;;;;
Basmati rice dry;100;g;347;1.1;74;8.5;;;;;
Beans;50;g;55.5;0.5;6.3;4.2;;;;;
Beef ground lean;200;g;274;10;0;43;;;;;
Beef ground 85/15;100;g;215;15;0;19;;;;;
beef meat cooked;100;g;171;5.4;0;31;;;;;
beef meat raw lean;100;g;163;4.1;0;30;;;;;
beef sirloin;150;g;309;13;0;44;;;;;
Beer;1;pc;194;0;24;2.4;;;;;
Birel;1;pc;104.066985645933;0.05;25;1;;;;;
Birel fruit;1;pc;35;0;8.6;0;;;;;
Barilla Mulino Bianco;1;pc;34;1.3;4.9;0.5;;;;;
Blackberries;100;g;46;0.5;9.6;1.4;;;;;
Blackcurrants;100;g;28;0;6.6;0.9;;;;;
Blueberries canned;100;g;88;0;21;1;;;;;
Blueberries;100;g;57;0;14;1;;;;;
Boiled potato;100;g;72;0.1;17;1.8;;;;;
Bounty bar;28.5;g;139;7.3;16.8;1.1;;;;;
Bounty;3;pc;403.5;24;40.5;4.65;;;;;
Bread;100;g;219;3;39;9;;;;;
bread homemade;760;g;1984;37.5;324;70;;;;;
Bread rivercote;4;slice;266;5.5;42;8.8;;;;;
Bread Mcennedy;1;slice;110;3.4;15.4;3.2;;;;;
Bread vianocka;100;g;320;8.9;51.9;8.1;;;;;
Bread rye;1;slice;117;1;26.2;3.2;;;;;
Broccoli;100;g;24;0.8;1.1;3.1;;;;;
butter;20;g;143;16.22;0.06;0.1;;;;;
Cabbage cooked;100;g;58;3;7;1;;;;;
Cake Panettone;100;g;374;17;49;5.4;;;;;
Carp;100;g;162;7.2;0;23;;;;;
Catfish;100;g;119;5.9;0;15.2;;;;;
Cashew butter (tsp);1;tsp;86.1;6.9;4.95;2.25;;;;;
Cashews;100;g;576;48;18;18;;;;;
Champignons;125;g;31;0.3;3.75;3.484;;;;;
Cheese camemberd;125;g;263.75;16.25;0;28.75;;;;;
Cheese gorgonzola;100;g;344;29;0.7;19;;;;;
cheese gouda;100;g;344;26;1.4;26;;;;;
Cheesecake;150;g;482;34;38;8;;;;;
